time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000000,-0.5553,-0.8896,-0.0542,-7.98,4.76,8.40
0.000597,-0.5627,-0.8882,-0.0556,-7.42,4.48,11.41
0.001194,-0.5651,-0.8877,-0.0586,-8.26,4.41,9.66
0.001791,-0.5656,-0.8872,-0.0625,-7.70,4.48,12.39
0.002389,-0.5734,-0.8838,-0.0664,-7.70,4.06,10.57
0.002986,-0.5793,-0.8847,-0.0673,-7.98,3.99,14.00
0.003583,-0.5846,-0.8843,-0.0673,-7.42,3.85,10.85
0.004180,-0.5890,-0.8774,-0.0688,-8.33,4.06,15.26
0.004777,-0.5910,-0.8706,-0.0683,-7.00,3.08,11.97
0.005374,-0.5919,-0.8633,-0.0654,-8.47,3.78,16.45
0.005972,-0.5963,-0.8511,-0.0659,-7.21,2.80,12.60
0.006569,-0.6012,-0.8452,-0.0732,-8.68,2.80,17.57
0.007166,-0.6012,-0.8423,-0.0766,-7.21,2.31,13.16
0.007763,-0.6002,-0.8384,-0.0747,-8.47,2.52,17.99
0.008360,-0.5998,-0.8408,-0.0776,-7.70,2.24,14.00
0.008957,-0.5998,-0.8359,-0.0810,-7.98,2.17,18.55
0.009554,-0.5998,-0.8306,-0.0781,-8.33,2.03,14.70
0.010152,-0.5949,-0.8340,-0.0795,-7.63,1.54,19.04
0.010749,-0.5929,-0.8330,-0.0815,-8.68,1.40,15.54
0.010749,-0.5905,-0.8286,-0.0825,-7.56,0.77,19.46
0.011339,-0.5885,-0.8296,-0.0834,-8.68,1.12,16.52
0.011936,-0.5900,-0.8340,-0.0864,-7.56,0.84,19.46
0.012533,-0.5929,-0.8389,-0.0883,-9.10,0.91,17.64
0.013131,-0.5919,-0.8389,-0.0888,-7.28,0.07,19.74
0.013728,-0.5871,-0.8316,-0.0874,-9.10,0.07,18.27
0.014325,-0.5871,-0.8242,-0.0864,-7.77,0.56,19.60
0.014922,-0.5915,-0.8257,-0.0898,-8.82,-0.56,19.18
0.015519,-0.5924,-0.8320,-0.0874,-8.05,0.35,19.81
0.016116,-0.5939,-0.8394,-0.0849,-8.82,-0.98,19.67
0.016714,-0.5978,-0.8511,-0.0864,-8.19,-0.07,20.86
0.017311,-0.5993,-0.8652,-0.0869,-8.68,-1.47,19.81
0.017908,-0.6012,-0.8686,-0.0869,-8.26,-0.42,21.49
0.018505,-0.6022,-0.8686,-0.0917,-8.33,-1.82,20.58
0.019102,-0.6017,-0.8755,-0.0961,-8.19,-0.84,21.98
0.019699,-0.6037,-0.8750,-0.0947,-8.47,-1.82,21.14
0.020296,-0.6046,-0.8823,-0.0913,-8.26,-1.47,22.40
0.020894,-0.6066,-0.8955,-0.0917,-8.47,-2.10,21.98
0.021491,-0.6100,-0.8930,-0.0937,-7.49,-2.10,22.96
0.022461,-0.6193,-0.8940,-0.0932,-8.54,-2.45,22.96
0.023058,-0.6202,-0.8867,-0.0903,-8.05,-3.15,23.38
0.023655,-0.6207,-0.8843,-0.0932,-7.70,-3.15,24.15
0.024252,-0.7481,-0.8872,-0.0903,-7.84,-3.50,24.08
0.024850,-0.6246,-0.8857,-0.0903,-7.63,-3.64,25.06
0.025447,-0.6266,-0.8818,-0.0922,-7.07,-4.13,25.48
0.026044,-0.6295,-0.8779,-0.0956,-7.56,-3.99,25.76
0.026641,-0.6305,-0.8721,-0.0942,-6.72,-5.04,25.97
0.027238,-0.6281,-0.8642,-0.0986,-7.35,-4.76,26.81
0.027835,-0.6261,-0.8574,-0.1000,-6.79,-5.32,26.46
0.028433,-0.6246,-0.8594,-0.0991,-7.42,-4.83,27.51
0.029030,-0.6271,-0.8647,-0.1000,-6.44,-5.74,27.16
0.029627,-0.6305,-0.8657,-0.1010,-6.93,-5.32,27.86
0.030224,-0.6295,-0.8657,-0.1088,-6.72,-5.95,27.93
0.030821,-0.6285,-0.8642,-0.1113,-6.86,-5.95,28.63
0.031418,-0.6276,-0.8628,-0.1078,-6.65,-6.16,28.49
0.032015,-0.6276,-0.8584,-0.1093,-6.09,-6.86,28.84
0.032613,-0.6300,-0.8589,-0.1093,-6.65,-6.51,28.98
0.033210,-0.6320,-0.8638,-0.1122,-6.23,-7.07,29.40
0.034180,-0.6339,-0.8608,-0.1161,-6.58,-6.93,29.82
0.034777,-0.6383,-0.8613,-0.1137,-5.95,-8.12,29.68
0.035374,-0.6388,-0.8618,-0.1142,-6.37,-7.14,29.47
0.035971,-0.6403,-0.8564,-0.1157,-6.16,-8.19,30.52
0.036569,-0.6461,-0.8516,-0.1186,-6.16,-8.33,30.31
0.037166,-0.6471,-0.8511,-0.1205,-6.30,-8.26,30.24
0.037763,-0.6495,-0.8501,-0.1240,-5.74,-8.33,30.94
0.038360,-0.6598,-0.8472,-0.1249,-6.44,-8.68,30.24
0.038957,-0.6642,-0.8477,-0.1259,-5.39,-9.24,31.01
0.039554,-0.6632,-0.8506,-0.1269,-6.58,-8.89,30.94
0.040152,-0.6647,-0.8525,-0.1269,-5.39,-9.66,31.36
0.040749,-0.6671,-0.8535,-0.1332,-6.51,-9.66,31.08
0.041346,-0.6681,-0.8550,-0.1386,-5.25,-10.15,30.94
0.041943,-0.6715,-0.8540,-0.1410,-6.30,-10.50,31.43
0.042540,-0.6744,-0.8501,-0.1405,-5.32,-10.22,30.80
0.043137,-0.6764,-0.8452,-0.1386,-5.67,-11.27,31.50
0.043734,-0.6783,-0.8418,-0.1371,-5.39,-10.71,31.15
0.044332,-0.6778,-0.8398,-0.1371,-5.88,-11.69,31.64
0.044929,-0.6773,-0.8408,-0.1396,-5.46,-10.99,31.01
0.044929,-0.6764,-0.8413,-0.1386,-5.11,-12.32,31.29
0.045519,-0.6754,-0.8398,-0.1410,-5.74,-11.55,31.43
0.046116,-0.6754,-0.8330,-0.1435,-4.97,-12.95,30.94
0.046713,-0.6769,-0.8257,-0.1430,-5.74,-11.69,30.80
0.047311,-0.6788,-0.8203,-0.1459,-5.18,-13.09,31.64
0.047908,-0.6773,-0.8174,-0.1469,-5.81,-12.11,30.73
0.048505,-0.6725,-0.8150,-0.1464,-5.04,-13.93,31.15
0.049102,-0.6720,-0.8106,-0.1435,-5.67,-12.32,30.66
0.049699,-0.6720,-0.8067,-0.1401,-5.32,-14.42,31.36
0.050296,-0.6690,-0.8023,-0.1415,-5.67,-12.39,30.24
0.050894,-0.6647,-0.7974,-0.1425,-5.46,-14.70,31.15
0.051491,-0.6554,-0.7945,-0.1415,-6.02,-13.09,30.52
0.052088,-0.6466,-0.7910,-0.1449,-5.81,-14.70,30.80
0.052685,-0.6481,-0.7935,-0.1464,-5.88,-13.86,30.24
0.053282,-0.6510,-0.7964,-0.1464,-5.81,-14.63,30.59
0.053879,-0.6451,-0.7930,-0.1503,-5.67,-14.21,29.89
0.054476,-0.6407,-0.7920,-0.1518,-6.09,-15.12,30.59
0.055074,-0.6422,-0.7891,-0.1518,-5.74,-14.70,29.68
0.055671,-0.6398,-0.7828,-0.1498,-6.72,-14.84,30.80
0.056640,-0.6388,-0.7803,-0.1459,-5.60,-15.05,29.12
0.057237,-0.6407,-0.7793,-0.1454,-6.72,-15.33,30.87
0.057834,-0.6412,-0.7803,-0.1449,-6.02,-15.47,29.12
0.058431,-0.6427,-0.7852,-0.1518,-6.23,-15.26,29.05
0.059029,-0.6412,-0.7852,-0.1581,-7.07,-15.75,30.80
0.059626,-0.6417,-0.7842,-0.1557,-6.51,-15.19,28.77
0.060223,-0.6412,-0.7852,-0.1542,-7.42,-15.96,31.43
0.060820,-0.6393,-0.7847,-0.1552,-6.65,-15.40,28.42
0.061417,-0.6378,-0.7813,-0.1542,-7.42,-16.38,31.85
0.062014,-0.6359,-0.7769,-0.1518,-7.21,-15.61,28.42
0.062612,-0.6339,-0.7749,-0.1493,-7.14,-16.45,31.85
0.063209,-0.6324,-0.7735,-0.1527,-8.19,-15.61,28.56
0.063806,-0.6305,-0.7710,-0.1537,-7.56,-16.73,32.13
0.064403,-0.6266,-0.7676,-0.1537,-8.54,-16.17,29.12
0.065000,-0.6242,-0.7637,-0.1566,-7.70,-16.80,32.27
0.065597,-0.6242,-0.7632,-0.1571,-9.10,-16.31,29.61
0.066194,-0.6237,-0.7623,-0.1586,-8.12,-16.38,32.41
0.066792,-0.6212,-0.7549,-0.1576,-9.59,-16.87,30.17
0.067389,-0.6168,-0.7554,-0.1562,-8.40,-16.52,32.55
0.068359,-0.6159,-0.7462,-0.1635,-9.59,-17.29,30.52
0.068956,-0.6149,-0.7427,-0.1630,-10.22,-17.78,30.73
0.069553,-0.6085,-0.7432,-0.1664,-9.94,-16.10,33.46
0.070150,-0.6066,-0.7403,-0.1664,-10.43,-17.78,30.94
0.070748,-0.6037,-0.7383,-0.1654,-10.50,-16.24,33.74
0.071345,-0.6027,-0.7364,-0.1669,-10.85,-17.99,31.43
0.071942,-0.6037,-0.7320,-0.1698,-11.13,-16.10,33.95
0.072539,-0.6027,-0.7296,-0.1742,-11.13,-18.20,31.85
0.073136,-0.6032,-0.7281,-0.1732,-11.83,-16.24,34.02
0.073733,-0.6027,-0.7281,-0.1732,-11.97,-17.71,32.69
0.074331,-0.6002,-0.7300,-0.1767,-12.88,-16.73,34.37
0.074928,-0.5998,-0.7291,-0.1806,-12.39,-17.64,33.18
0.075525,-0.6007,-0.7266,-0.1830,-12.88,-16.94,34.51
0.076122,-0.5998,-0.7281,-0.1854,-13.44,-17.43,33.88
0.076719,-0.5983,-0.7305,-0.1864,-13.51,-17.01,34.86
0.077316,-0.5983,-0.7310,-0.1884,-14.35,-17.08,34.30
0.077913,-0.5998,-0.7305,-0.1918,-13.86,-17.71,34.79
0.078511,-0.5998,-0.7281,-0.1972,-15.54,-17.15,35.28
0.079108,-0.6002,-0.7271,-0.2015,-14.63,-17.50,35.14
0.080078,-0.6051,-0.7242,-0.2064,-16.10,-17.92,35.77
0.080675,-0.6041,-0.7203,-0.2074,-16.94,-17.08,36.33
0.081272,-0.6080,-0.7218,-0.2103,-16.45,-17.85,36.47
0.081869,-0.6129,-0.7188,-0.2128,-17.36,-17.22,36.89
0.082467,-0.6163,-0.7164,-0.2147,-17.15,-18.34,36.68
0.083064,-0.6139,-0.7164,-0.2206,-18.34,-17.01,37.87
0.083661,-0.6124,-0.7130,-0.2230,-18.13,-18.13,36.96
0.084258,-0.6120,-0.7135,-0.2230,-18.97,-17.57,38.01
0.084855,-0.6105,-0.7139,-0.2279,-19.39,-18.48,37.66
0.085452,-0.6090,-0.7120,-0.2308,-19.53,-17.78,38.85
0.086050,-0.6051,-0.7139,-0.2342,-20.79,-17.92,37.87
0.086647,-0.6051,-0.7149,-0.2411,-20.30,-18.13,39.20
0.087244,-0.6085,-0.7144,-0.2455,-21.70,-17.85,38.01
0.087841,-0.6066,-0.7174,-0.2450,-20.86,-18.48,39.69
0.088438,-0.6022,-0.7198,-0.2469,-23.03,-18.06,38.50
0.089035,-0.6017,-0.7203,-0.2484,-21.63,-18.06,40.25
0.089632,-0.6017,-0.7198,-0.2499,-23.87,-18.06,38.99
0.090230,-0.5983,-0.7203,-0.2562,-22.96,-18.20,40.11
0.090827,-0.5939,-0.7193,-0.2586,-24.71,-18.41,39.27
0.090827,-0.5939,-0.7218,-0.2591,-24.22,-17.99,41.02
0.091417,-0.5924,-0.7252,-0.2616,-25.34,-17.92,39.27
0.092014,-0.5876,-0.7232,-0.2616,-25.69,-18.20,40.67
0.092611,-0.5900,-0.7247,-0.2645,-26.32,-18.06,40.11
0.093209,-0.5949,-0.7276,-0.2699,-26.46,-18.76,40.53
0.093806,-0.5939,-0.7237,-0.2689,-27.37,-17.57,40.11
0.094403,-0.5900,-0.7237,-0.2699,-27.72,-18.83,40.60
0.095000,-0.5876,-0.7276,-0.2738,-28.14,-17.92,39.83
0.095597,-0.5851,-0.7300,-0.2782,-29.33,-18.55,40.81
0.096194,-0.5851,-0.7325,-0.2782,-28.84,-17.99,39.97
0.096792,-0.5866,-0.7349,-0.2752,-30.38,-18.20,40.67
0.097389,-0.5851,-0.7408,-0.2791,-29.96,-17.99,39.55
0.097986,-0.5851,-0.7447,-0.2860,-31.57,-18.20,40.25
0.098583,-0.5876,-0.7452,-0.2889,-30.66,-17.57,39.55
0.099180,-0.5885,-0.7462,-0.2904,-32.34,-18.34,40.11
0.099777,-0.5905,-0.7535,-0.2928,-31.92,-17.50,39.41
0.100374,-0.5949,-0.7569,-0.2928,-33.53,-18.62,40.18
0.100972,-0.5934,-0.7598,-0.2918,-33.25,-17.43,39.20
0.101569,-0.5958,-0.7662,-0.2928,-34.02,-18.69,39.27
0.102539,-0.5998,-0.7686,-0.2918,-34.58,-17.22,38.71
0.103136,-0.6007,-0.7749,-0.2923,-35.49,-18.41,39.27
0.103733,-0.6051,-0.7837,-0.3045,-35.35,-17.36,37.66
0.104330,-0.6115,-0.7906,-0.3045,-36.12,-18.69,39.34
0.104928,-0.6129,-0.7969,-0.3035,-36.40,-17.29,36.54
0.105525,-0.6095,-0.8008,-0.3079,-36.82,-18.69,38.85
0.106122,-0.6227,-0.8179,-0.3050,-38.22,-18.34,38.71
0.106719,-0.6246,-0.8242,-0.3055,-38.36,-18.06,35.35
0.107316,-0.6256,-0.8316,-0.3138,-38.71,-18.13,37.80
0.107913,-0.6290,-0.8374,-0.3133,-39.62,-18.13,34.79
0.108511,-0.6378,-0.8433,-0.3089,-39.13,-18.27,36.54
0.109108,-0.6432,-0.8496,-0.3104,-41.02,-18.06,34.09
0.109705,-0.6461,-0.8560,-0.3123,-39.83,-18.34,35.49
0.110302,-0.6486,-0.8608,-0.3152,-41.79,-18.48,33.74
0.110899,-0.6481,-0.8608,-0.3148,-40.67,-18.48,34.23
0.111496,-0.6534,-0.8677,-0.3118,-42.56,-18.83,32.90
0.112093,-0.6573,-0.8755,-0.3143,-41.65,-18.76,32.62
0.112691,-0.6544,-0.8794,-0.3182,-43.33,-18.83,31.99
0.113288,-0.6529,-0.8891,-0.3167,-42.49,-18.83,31.50
0.114258,-0.6515,-0.8965,-0.3206,-43.54,-19.32,29.75
0.114855,-0.6525,-0.9023,-0.3245,-44.80,-19.39,30.24
0.115452,-0.6476,-0.9033,-0.3240,-44.17,-19.18,28.35
0.116049,-0.6407,-0.9062,-0.3245,-45.36,-19.60,29.47
0.116647,-0.6407,-0.9091,-0.3279,-45.15,-19.32,27.16
0.117244,-0.6412,-0.9072,-0.3279,-46.06,-19.67,28.14
0.117841,-0.6422,-0.9067,-0.3304,-46.34,-19.60,25.55
0.118438,-0.6403,-0.9116,-0.3348,-46.41,-20.30,26.67
0.119035,-0.6339,-0.9174,-0.3382,-47.46,-19.53,24.36
0.119632,-0.6320,-0.9194,-0.3377,-46.90,-20.44,25.13
0.120230,-0.6295,-0.9170,-0.3431,-48.72,-19.88,23.10
0.120827,-0.6271,-0.9165,-0.3489,-47.39,-20.44,23.73
0.121424,-0.6251,-0.9204,-0.3504,-49.98,-20.16,21.98
0.122021,-0.6232,-0.9213,-0.3523,-48.30,-20.72,22.47
0.122618,-0.6202,-0.9174,-0.3514,-50.54,-20.79,20.58
0.123215,-0.6159,-0.9179,-0.3538,-49.14,-20.51,20.79
0.123812,-0.6154,-0.9228,-0.3592,-51.31,-20.72,19.74
0.124410,-0.6124,-0.9238,-0.3645,-50.33,-20.65,19.25
0.125007,-0.6163,-0.9228,-0.3728,-52.01,-21.28,18.62
0.125976,-0.6237,-0.9213,-0.3753,-51.45,-20.93,17.64
0.126573,-0.6232,-0.9277,-0.3806,-52.57,-20.93,16.38
0.127170,-0.6281,-0.9282,-0.3870,-53.27,-21.56,16.31
0.127767,-0.6295,-0.9287,-0.3938,-53.90,-21.14,15.54
0.128365,-0.6290,-0.9306,-0.3943,-54.11,-21.91,14.98
0.128962,-0.6276,-0.9306,-0.3943,-55.16,-21.49,14.21
0.129559,-0.6246,-0.9311,-0.4006,-54.95,-22.26,13.86
0.130156,-0.6251,-0.9340,-0.4021,-55.93,-21.91,12.81
0.130753,-0.6281,-0.9340,-0.4046,-56.00,-22.68,13.09
0.131350,-0.6295,-0.9394,-0.4075,-57.54,-22.05,11.97
0.131948,-0.6266,-0.9433,-0.4114,-56.91,-23.10,11.97
0.132545,-0.6237,-0.9414,-0.4148,-58.73,-22.47,11.06
0.133142,-0.6251,-0.9423,-0.4172,-57.82,-23.45,11.41
0.133739,-0.6266,-0.9428,-0.4236,-59.29,-23.10,10.01
0.134336,-0.6295,-0.9409,-0.4236,-59.29,-23.52,10.57
0.134933,-0.6329,-0.9438,-0.4221,-60.55,-23.45,9.52
0.135530,-0.6339,-0.9521,-0.4246,-60.55,-23.45,9.66
0.136128,-0.6290,-0.9570,-0.4255,-60.97,-24.36,8.68
0.136725,-0.6251,-0.9575,-0.4319,-62.02,-23.73,8.26
0.137695,-0.6349,-0.9653,-0.4333,-61.95,-25.13,8.82
0.138292,-0.6349,-0.9770,-0.4377,-63.42,-25.20,7.63
0.138889,-0.6354,-0.9838,-0.4387,-64.26,-24.50,6.72
0.139486,-0.6456,-0.9936,-0.4436,-65.10,-25.34,5.53
0.140084,-0.6481,-0.9994,-0.4460,-65.73,-26.25,7.14
0.140681,-0.6510,-1.0033,-0.4504,-66.71,-25.41,4.97
0.141278,-0.6529,-1.0038,-0.4490,-67.13,-26.81,6.72
0.141875,-0.6568,-1.0067,-0.4494,-67.90,-26.18,4.34
0.142472,-0.6583,-1.0136,-0.4563,-68.39,-27.44,5.95
0.143069,-0.6573,-1.0189,-0.4563,-69.02,-26.67,3.50
0.143667,-0.6617,-1.0204,-0.4568,-69.86,-28.35,5.60
0.144264,-0.6676,-1.0214,-0.4587,-70.28,-27.30,2.59
0.144861,-0.6700,-1.0282,-0.4563,-70.56,-28.63,4.48
0.145458,-0.6710,-1.0311,-0.4587,-72.03,-28.00,2.45
0.146055,-0.6725,-1.0253,-0.4670,-71.75,-29.61,4.13
0.146652,-0.6793,-1.0287,-0.4699,-73.36,-28.84,1.26
0.147249,-0.6773,-1.0292,-0.4704,-74.90,-29.47,0.21
0.147847,-0.6798,-1.0321,-0.4675,-74.48,-31.01,3.29
0.148444,-0.6852,-1.0326,-0.4709,-76.58,-30.24,-0.84
0.150390,-0.6876,-1.0292,-0.4738,-75.95,-31.71,2.66
0.150987,-0.6891,-1.0263,-0.4729,-78.19,-31.57,-1.26
0.151584,-0.6930,-1.0258,-0.4719,-77.77,-32.20,1.33
0.152181,-0.6964,-1.0272,-0.4753,-79.66,-32.41,-1.54
0.152779,-0.7003,-1.0263,-0.4753,-79.45,-33.25,0.49
0.153376,-0.7017,-1.0228,-0.4714,-81.69,-33.18,-2.10
0.153973,-0.6993,-1.0185,-0.4782,-80.78,-34.16,-0.77
0.154570,-0.6964,-1.0175,-0.4831,-83.65,-34.58,-2.59
0.155167,-0.6959,-1.0155,-0.4821,-82.74,-35.00,-1.82
0.155764,-0.6988,-1.0102,-0.4821,-85.47,-35.35,-3.22
0.156362,-0.6964,-1.0043,-0.4797,-84.70,-35.63,-3.29
0.156959,-0.6920,-0.9999,-0.4782,-87.36,-36.40,-3.85
0.157556,-0.6934,-0.9960,-0.4778,-86.73,-36.82,-4.13
0.158153,-0.6959,-0.9916,-0.4792,-89.39,-37.24,-4.41
0.158750,-0.6949,-0.9892,-0.4812,-88.55,-37.66,-5.53
0.159347,-0.6934,-0.9853,-0.4797,-91.49,-38.36,-5.25
0.159944,-0.6925,-0.9789,-0.4782,-90.86,-38.99,-7.21
0.160542,-0.6988,-0.9697,-0.4802,-93.24,-39.76,-8.54
0.161139,-0.7013,-0.9633,-0.4865,-95.48,-40.46,-6.58
0.161139,-0.7013,-0.9633,-0.4851,-96.32,-40.88,-9.80
0.161730,-0.6993,-0.9604,-0.4817,-97.86,-41.37,-7.28
0.162327,-0.6993,-0.9540,-0.4860,-98.42,-42.07,-11.55
0.162924,-0.7017,-0.9579,-0.4890,-100.24,-42.28,-7.70
0.163522,-0.7032,-0.9599,-0.4914,-101.43,-43.47,-12.53
0.164119,-0.7066,-0.9545,-0.4919,-102.76,-43.26,-8.19
0.164716,-0.7091,-0.9555,-0.4895,-104.02,-44.59,-13.58
0.165313,-0.7066,-0.9604,-0.4914,-104.65,-44.87,-9.24
0.165910,-0.7100,-0.9604,-0.4973,-106.89,-45.78,-14.63
0.166507,-0.7149,-0.9633,-0.4987,-107.03,-45.92,-9.80
0.167105,-0.7120,-0.9648,-0.4992,-109.83,-46.83,-16.03
0.167702,-0.7144,-0.9653,-0.5017,-109.34,-47.53,-10.50
0.168299,-0.7115,-0.9687,-0.5031,-112.63,-47.53,-16.87
0.168896,-0.7081,-0.9697,-0.5026,-111.79,-48.86,-11.69
0.169493,-0.7096,-0.9716,-0.5002,-115.22,-49.28,-17.85
0.170090,-0.7100,-0.9755,-0.5031,-114.45,-50.40,-12.46
0.170687,-0.7115,-0.9804,-0.5085,-118.09,-50.54,-18.69
0.171285,-0.7135,-0.9887,-0.5109,-120.54,-51.38,-19.18
0.171882,-0.7120,-0.9926,-0.5129,-119.98,-52.85,-14.42
0.172851,-0.7149,-0.9936,-0.5153,-122.92,-52.92,-20.37
0.173448,-0.7149,-0.9960,-0.5148,-122.78,-54.39,-15.05
0.174045,-0.7164,-1.0024,-0.5163,-125.86,-54.25,-21.21
0.174642,-0.7213,-1.0053,-0.5192,-125.37,-55.65,-15.68
0.175240,-0.7198,-1.0072,-0.5187,-128.38,-55.58,-22.33
0.175837,-0.7183,-1.0087,-0.5197,-128.17,-57.26,-16.59
0.176434,-0.7169,-1.0067,-0.5222,-131.11,-56.98,-22.75
0.177031,-0.7174,-1.0053,-0.5212,-131.11,-58.24,-17.64
0.177628,-0.7144,-1.0019,-0.5202,-133.42,-58.87,-23.52
0.178225,-0.7144,-0.9984,-0.5212,-134.12,-59.57,-18.69
0.178823,-0.7193,-1.0024,-0.5202,-135.80,-60.20,-24.43
0.179420,-0.7188,-1.0053,-0.5231,-137.06,-60.69,-20.02
0.180017,-0.7159,-1.0028,-0.5290,-138.53,-61.74,-25.48
0.180614,-0.7159,-1.0024,-0.5324,-139.72,-62.09,-20.79
0.181211,-0.7125,-0.9999,-0.5339,-140.84,-63.91,-25.90
0.181808,-0.7076,-0.9950,-0.5329,-143.08,-63.07,-22.19
0.182405,-0.7071,-0.9970,-0.5344,-143.64,-65.24,-26.74
0.183003,-0.7066,-1.0019,-0.5388,-145.46,-64.61,-23.66
0.183600,-0.7008,-1.0063,-0.5417,-146.65,-66.78,-27.37
0.184570,-0.6964,-1.0082,-0.5412,-148.12,-66.22,-24.78
0.185167,-0.6983,-1.0106,-0.5422,-149.80,-68.04,-27.72
0.185764,-0.6959,-1.0116,-0.5436,-150.43,-67.62,-26.95
0.186361,-0.6915,-1.0126,-0.5446,-152.81,-69.37,-27.79
0.186959,-0.6915,-1.0155,-0.5490,-152.95,-69.02,-28.70
0.187556,-0.6910,-1.0185,-0.5524,-155.68,-70.70,-28.28
0.188153,-0.6881,-1.0209,-0.5553,-155.26,-70.63,-29.89
0.188750,-0.6842,-1.0292,-0.5597,-158.83,-71.75,-28.70
0.189347,-0.6817,-1.0370,-0.5602,-157.78,-72.03,-31.57
0.189944,-0.6812,-1.0390,-0.5578,-161.35,-73.22,-29.26
0.190542,-0.6769,-1.0443,-0.5622,-160.51,-73.36,-32.55
0.191139,-0.6734,-1.0477,-0.5695,-163.73,-74.55,-29.68
0.191736,-0.6700,-1.0482,-0.5714,-163.31,-75.04,-34.02
0.192333,-0.6651,-1.0492,-0.5734,-166.11,-75.81,-30.03
0.192930,-0.6627,-1.0546,-0.5778,-166.25,-76.23,-34.65
0.193527,-0.6612,-1.0585,-0.5773,-168.21,-77.14,-30.59
0.194124,-0.6539,-1.0624,-0.5812,-170.73,-78.19,-30.24
0.194722,-0.6490,-1.0609,-0.5871,-171.43,-78.96,-36.61
0.195319,-0.6476,-1.0638,-0.5890,-172.69,-79.66,-31.01
0.196289,-0.6500,-1.0697,-0.5905,-174.23,-80.29,-36.75
0.196886,-0.6505,-1.0687,-0.5885,-174.86,-80.92,-31.22
0.197483,-0.6510,-1.0716,-0.5880,-176.82,-81.34,-38.01
0.198080,-0.6456,-1.0770,-0.5924,-177.10,-81.90,-30.94
0.198678,-0.6412,-1.0775,-0.5944,-179.48,-82.53,-38.08
0.199275,-0.6388,-1.0760,-0.5983,-178.71,-83.58,-31.50
0.199872,-0.6364,-1.0770,-0.5978,-182.21,-83.72,-38.08
0.200469,-0.6364,-1.0824,-0.5968,-181.02,-84.14,-31.71
0.201066,-0.6334,-1.0873,-0.6017,-184.73,-85.26,-38.22
0.201663,-0.6305,-1.0912,-0.6032,-183.19,-85.54,-31.99
0.202261,-0.6285,-1.1004,-0.5978,-186.90,-86.94,-38.43
0.202858,-0.6261,-1.1078,-0.5929,-185.57,-86.24,-32.41
0.203455,-0.6261,-1.1131,-0.5998,-188.93,-88.27,-38.15
0.204052,-0.6256,-1.1175,-0.6027,-187.74,-87.36,-32.90
0.204649,-0.6227,-1.1248,-0.5983,-190.82,-89.11,-38.64
0.205246,-0.6242,-1.1458,-0.5973,-192.85,-90.30,-38.57
0.205843,-0.6242,-1.1522,-0.5978,-192.22,-90.09,-34.09
0.206441,-0.6232,-1.1585,-0.6012,-194.67,-91.21,-38.99
0.207038,-0.6193,-1.1653,-0.6012,-194.53,-91.14,-34.44
0.208008,-0.6134,-1.1649,-0.6056,-196.21,-92.40,-39.62
0.208605,-0.6110,-1.1649,-0.6056,-197.12,-92.47,-34.65
0.209202,-0.6115,-1.1692,-0.6071,-197.68,-93.38,-40.46
0.209799,-0.6090,-1.1727,-0.6051,-199.22,-93.38,-35.21
0.210397,-0.6071,-1.1780,-0.6080,-199.85,-94.71,-40.25
0.210994,-0.6076,-1.1829,-0.6120,-200.83,-94.78,-36.47
0.211591,-0.6056,-1.1824,-0.6134,-201.39,-95.97,-40.46
0.212188,-0.6007,-1.1814,-0.6159,-203.21,-95.69,-36.96
0.212785,-0.5983,-1.1790,-0.6183,-202.93,-97.09,-40.32
0.213382,-0.5988,-1.1751,-0.6198,-204.33,-97.09,-38.08
0.213980,-0.5978,-1.1741,-0.6212,-205.38,-97.79,-40.53
0.214577,-0.5968,-1.1702,-0.6217,-206.22,-97.93,-38.78
0.215174,-0.5954,-1.1673,-0.6251,-207.34,-98.98,-40.39
0.215771,-0.5954,-1.1692,-0.6305,-207.76,-99.96,-39.62
0.216368,-0.5954,-1.1707,-0.6305,-209.44,-99.40,-40.53
0.216965,-0.5900,-1.1712,-0.6295,-209.02,-101.01,-40.53
0.217563,-0.5885,-1.1707,-0.6320,-211.33,-100.87,-40.25
0.218160,-0.5827,-1.1775,-0.6383,-211.05,-101.78,-41.02
0.218757,-0.5754,-1.1854,-0.6403,-212.80,-102.41,-40.67
0.218757,-0.5729,-1.1936,-0.6446,-213.29,-102.90,-41.23
0.219347,-0.5680,-1.1976,-0.6510,-214.41,-103.39,-40.67
0.219944,-0.5641,-1.1995,-0.6544,-215.04,-104.09,-41.93
0.220541,-0.5617,-1.2073,-0.6578,-215.88,-104.16,-40.60
0.221139,-0.5617,-1.2102,-0.6578,-216.65,-105.49,-41.93
0.221736,-0.5632,-1.2107,-0.6573,-217.42,-104.93,-40.95
0.222333,-0.5622,-1.2176,-0.6627,-217.91,-106.96,-42.21
0.222930,-0.5617,-1.2220,-0.6671,-218.89,-106.47,-40.53
0.223527,-0.5592,-1.2268,-0.6686,-219.52,-107.73,-42.56
0.224124,-0.5544,-1.2327,-0.6705,-220.22,-107.87,-40.11
0.224722,-0.5534,-1.2322,-0.6700,-221.06,-108.78,-43.61
0.225319,-0.5539,-1.2322,-0.6681,-221.06,-108.85,-40.32
0.225916,-0.5592,-1.2390,-0.6730,-222.60,-110.04,-43.89
